-34, 12, 8, 56, -22, 8, -1, 11
-54, -39, 26, 62, 0, 1, 7, 21
17, -36, 37, 12, 6, -43, 38, -26
66, 59, -2, -67, -41, -22, 28, -18
-21, 84, -52, 6, 8, 24, -40, -24
4, 26, -85, -10, -3, 28, -46, -17
32, -36, 22, -26, 14, -30, 31, 36
-10, -13, 49, 51, 14, -26, 20, -10
10, -2, -128, 55, -16, 37, -56, -42
5, -37, -47, 17, 16, 11, -9, -24
2, 23, 52, 34, 4, 11, 54, 10
-8, 37, -41, 32, 18, 32, -29, 47
-38, 6, -7, -37, 27, -30, -28, 5
-11, 5, -26, 23, 45, -19, 18, -10
-9, -3, -28, 70, 22, 7, -24, 47
1, 6, 28, 74, 33, -17, 21, 57
20, 21, -28, 38, 70, -9, 25, 18
22, 31, -51, -36, -25, -29, 12, -10
-35, 31, 9, -18, -25, -13, 8, 7
-40, 14, 19, -23, 14, 14, -15, -1
26, -22, -56, -39, -7, 23, 28, -12
-17, 3, -37, 1, 42, 42, -42, 35
-24, 1, 45, -55, 41, 7, -21, 31
-3, -39, -11, -28, -1, 1, 10, 7
-12, -27, -8, 81, 38, -32, -70, 22
-10, -37, 85, -9, -5, -32, 5, 19
-33, 33, 83, -27, -44, 32, 16, 1
-34, 49, 34, 22, -14, -1, 3, 12
-34, -8, -5, 2, -52, 3, 23, 12
-30, 15, 24, -71, 10, 26, -43, -29
-6, -8, 56, -70, 33, 7, -30, -19
-17, 5, 70, 3, 7, 22, 22, 9
3, 28, 31, -24, 15, 20, -35, 4
5, -18, -12, -27, -12, 4, -23, 1
-14, -8, -21, 12, 5, -13, -2, 18
7, 22, -31, 51, -35, -33, -81, -5
-39, -20, 10, -13, -26, -16, -25, -31
-4, -27, -7, -40, -6, 10, -1, -18
43, 6, 38, -2, -27, -27, -30, -40
-9, -38, -15, 14, 16, -27, -20, -4
26, 7, -54, 69, 61, 16, -10, 9
8, 43, 70, 41, 23, 23, 37, -45
-42, -44, 12, 9, -35, 13, -13, 10
7, 46, 43, -40, 15, -55, -4, 23
-15, 65, 43, -39, 13, -5, 45, -40
-55, -52, -32, 95, -17, 57, -17, -2
-14, 15, 8, 24, 2, -9, -42, -24
-26, 54, 24, -111, 31, 15, -7, -54
-85, 20, 15, -49, 17, 22, 11, -26
-28, 27, -67, -41, -25, -18, 10, -68
37, -20, 6, -36, 43, -12, 38, -15
-6, -22, 72, 32, 70, 19, 33, 17
-23, 9, -11, 13, 19, 4, -1, -9
0, -50, -11, -2, 0, -31, -27, 59
8, -8, -25, -36, -21, 17, -11, 55
-19, 38, 3, -6, -20, -11, 35, -21
-46, -23, -26, 90, 27, -36, 23, -39
0, -35, -101, 9, 31, 40, -10, -1
16, -33, 13, 30, -8, -10, -51, 10
0, -8, 8, 116, -28, -34, -24, 12
-9, 5, -82, 44, -21, 10, -27, -10
-15, -10, 4, -30, 16, 20, -20, -37
-23, 6, -2, 15, 9, 35, 18, 20
-10, 8, -70, 140, 2, -24, -63, 55
-26, 25, 79, -29, 22, -26, -8, 52
-84, 4, 126, -91, -11, -13, 14, 5
-44, -27, 86, -17, -10, -12, -48, -25
-19, -29, 192, -27, -13, -63, 56, -8
-8, -24, 87, 48, -62, -114, 14, -95
-18, 37, 16, -94, -39, 40, -70, -89
-40, -6, 68, 9, 3, 28, 7, -19
11, -17, 25, 41, -14, -11, 37, -27
-22, 35, 85, -55, -14, 35, 21, 8
-37, -25, 25, 80, 27, -53, 2, -21
-12, 3, -69, -46, -11, -21, 31, -56
